City,datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,temperature_2m,relative_humidity_2m,apparent_temperature,rain,pressure_msl,wind_speed_10m,dew_point_2m,weather_code,surface_pressure,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,wind_gusts_10m,wind_direction_10m,cloud_cover,precipitation,et0_fao_evapotranspiration,vapour_pressure_deficit,cloud_cover_high,cloud_cover_low,cloud_cover_mid,soil_temperature_7_to_28cm,wind_speed_100m,wind_direction_100m,is_day,total_column_integrated_water_vapour,wet_bulb_temperature_2m,direct_radiation,direct_radiation_instant,hour,weekday,is_weekend,traffic_level
Kolkata,2015-01-01,477.2,543.9,14.1,76.4,225.9,45.6,2.41,42.1,171.1,9.31,11.65,9.39,174.4,Very Poor,18.667501,86.49159,19.563953,0.0,1013.1,9.021574,16.3675,3.0,1011.9148,19.4675,0.181,15.84,61.389645,98.0,0.0,0.002736807,0.2908131,98.0,14.0,47.0,21.2675,19.130875,70.20104,0.0,43.3,17.033602,0.0,0.0,0,3,0,Medium
Kolkata,2015-01-02,329.8,599.3,139.1,34.0,75.2,24.1,3.63,63.4,111.2,8.95,28.51,1.88,139.8,Very Poor,19.2175,91.31926,20.275951,0.0,1014.2,12.015589,17.7675,2.0,1013.0158,19.4675,0.348,21.599998,81.38444,54.0,0.0,0.00024098318,0.19337869,0.0,2.0,53.0,20.667501,23.828083,85.66777,0.0,41.1,18.160084,0.0,0.0,0,4,0,Medium
Kolkata,2015-01-03,393.0,422.5,28.9,112.1,149.9,40.6,5.72,3.7,60.8,2.02,16.7,0.47,491.8,Severe,20.917501,94.89232,23.664421,0.0,1014.6,7.9036193,20.067501,2.0,1013.42194,21.167501,0.325,12.24,120.0685,59.0,0.0,0.0,0.1263609,0.0,42.0,47.0,22.0175,18.0,126.86999,0.0,43.9,20.290127,0.0,0.0,0,5,1,Medium
Kolkata,2015-01-04,392.0,70.4,33.6,127.9,11.8,6.7,5.02,51.4,105.6,4.25,23.96,4.65,119.5,Severe,19.917501,98.76771,22.629045,0.0,1013.5,6.9527545,19.7175,3.0,1012.3194,21.2175,0.354,10.799999,338.74942,88.0,0.0,0.0,0.028665066,0.0,83.0,37.0,22.7675,13.708391,346.32867,0.0,43.4,19.774239,0.0,0.0,0,6,1,Medium
Kolkata,2015-01-05,298.2,515.0,86.7,101.8,156.6,35.3,4.17,19.4,197.7,3.23,19.19,1.9,473.1,Moderate,17.1175,95.04801,18.111483,0.0,1013.4,8.217153,16.317501,0.0,1012.2082,18.817501,0.318,15.4800005,331.1893,8.0,0.0,0.0,0.096714616,0.0,7.0,4.0,21.567501,18.678415,332.44727,0.0,23.8,16.523184,0.0,0.0,0,0,0,Medium
Kolkata,2015-01-06,191.5,560.1,176.3,4.5,115.4,49.0,8.89,23.2,35.5,10.66,17.71,6.07,15.0,Poor,15.0175,95.895,16.001226,0.0,1014.5,3.096837,14.367499,2.0,1013.29834,15.5675,0.294,5.3999996,305.53775,73.0,0.0,0.0,0.07013798,0.0,72.0,0.0,20.2675,1.1384199,341.56494,0.0,14.4,14.526396,0.0,0.0,0,1,0,Medium
Kolkata,2015-01-07,121.4,120.8,153.5,10.4,222.7,40.1,4.96,28.8,51.1,2.67,11.02,0.97,493.6,Very Poor,12.0675,95.80144,11.444014,0.0,1014.3,7.2805495,11.4175,0.0,1013.08575,15.0675,0.277,10.440001,8.530692,7.0,0.0,0.0,0.05922699,0.0,6.0,0.0,19.6175,9.826088,28.442837,0.0,14.5,11.571335,0.0,0.0,0,2,0,Medium
Kolkata,2015-01-08,308.5,199.9,45.4,144.2,156.1,49.7,0.34,40.8,197.1,3.72,12.86,4.43,82.2,Very Poor,12.867499,96.14258,12.96369,0.0,1014.5,4.198285,12.2675,3.0,1013.28906,15.1675,0.264,9.72,329.03632,96.0,0.0,0.0,0.057342768,0.0,96.0,0.0,19.417501,4.5536795,341.56494,0.0,18.8,12.406847,0.0,0.0,0,3,0,Medium
Kolkata,2015-01-09,172.4,142.6,142.3,71.3,111.4,26.7,1.27,11.2,86.7,7.34,21.28,1.14,5.9,Satisfactory,12.2175,93.30324,11.455221,0.0,1015.8,7.7043357,11.1675,0.0,1014.5847,14.9675,0.254,12.24,322.59457,0.0,0.0,0.0,0.095404744,0.0,0.0,0.0,19.3675,18.089775,328.84076,0.0,15.4,11.454382,0.0,0.0,0,4,0,Medium
Kolkata,2015-01-10,415.5,586.8,18.3,138.5,100.0,47.7,4.33,59.6,59.2,19.8,18.38,0.1,446.7,Poor,12.4175,92.69761,11.777948,0.0,1016.1,7.072878,11.2675,0.0,1014.8853,14.867499,0.244,12.599999,345.25638,0.0,0.0,0.0,0.10540712,0.0,0.0,0.0,19.0175,18.0036,348.4654,0.0,13.6,11.588196,0.0,0.0,0,5,1,Medium
